评论ID,笔记ID,用户ID,昵称,评论内容,点赞数,发布时间,IP归属地,评论等级,状态,子评论数,是否为子评论,目标用户,目标昵称
68a91c910000000030023adb,68a048c1000000001d01838e,6880383e000000001b01b63e,小土豆长高个,"8【复制全文→返回薯队APP】 仅限9月20日内，""AI大模型学习➕内推""等你很久了 MU2762 :/#u🐷😎🍗🥕😌🥐😏🥒😜🍟🥒🐟",2,2025-08-23 09:42:41,湖南,0,4,0,否,,
68a048ef000000003002a604,68a048c1000000001d01838e,6880383e000000001b01b63e,小土豆长高个,"本人AI  大模型开发，大厂核心岗月薪3w➕，Ai产品经理市场急缺，抽空带几个徒弟，从0-1搞定 大AI产品经理  ，没有套路。
可以教他 #      AI产品入门，     工业级模型压缩                     、     大模型部署优化           、业务场景调参等
要求：
·22岁以上
·晚上有空闲时间学习
本期学习不要米，留个 111关一下就行！",5,2025-08-16 17:01:35,湖南,0,3,69,否,,
68b76d240000000001002665,68a048c1000000001d01838e,648bbcf0000000001100151c,微风,111,0,2025-09-03 06:18:12,安徽,0,0,1,否,,
68b819d5000000003002d741,68a048c1000000001d01838e,67e16a06000000000e02f5da,吟风抱月,湖南有个p的32k的厂,0,2025-09-03 18:35:02,河北,0,0,0,否,,
68b3cd280000000002002093,68a048c1000000001d01838e,5e2998700000000001007be0,Affront,111,1,2025-08-31 12:18:48,广东,0,0,1,否,,
68b4865400000000300162c1,68a048c1000000001d01838e,644956170000000010029d67,小红薯644AC373,111,0,2025-09-01 01:28:53,浙江,0,0,1,否,,
68b385190000000001010985,68a048c1000000001d01838e,5d3fbe83000000001002f44a,北漂,111,0,2025-08-31 07:11:21,湖南,0,0,1,否,,
68b27e890000000002000f47,68a048c1000000001d01838e,602f6b12000000000100511b,小红薯603048C9,99,1,2025-08-30 12:31:05,北京,0,0,0,否,,
68af5e510000000002015cc0,68a048c1000000001d01838e,608e2298000000000100373a,来杯甜酒,111,0,2025-08-28 03:36:50,美国,0,0,1,否,,
68b1b573000000000902b34c,68a048c1000000001d01838e,662d38e10000000007007428,毛毛爱挣钱,111,0,2025-08-29 22:13:08,河南,0,0,1,否,,
68b18609000000000b02fda5,68a048c1000000001d01838e,62024a9c000000000201cb32,基德,111,0,2025-08-29 18:50:49,新疆,0,0,1,否,,
68b1204500000000020177cb,68a048c1000000001d01838e,63e8a95a0000000026011d12,A--影飞散灭,111,0,2025-08-29 11:36:38,上海,0,0,1,否,,
68b04707000000000903ab98,68a048c1000000001d01838e,680b8d53000000000d009ce7,小红薯,厉害👍,1,2025-08-28 20:09:43,河北,0,0,0,否,,
68b01fc40000000001011b79,68a048c1000000001d01838e,5c2b447e0000000005018e1b,Krystal,111,0,2025-08-28 17:22:12,北京,0,0,1,否,,
68afc98f000000003002b1ca,68a048c1000000001d01838e,5f21b4d00000000001009e46,Zeal,111,0,2025-08-28 11:14:24,陕西,0,0,1,否,,
68a9f695000000003001e2fe,68a048c1000000001d01838e,5f40c1d30000000001008393,一只 AI 宝,111,0,2025-08-24 01:12:54,上海,0,0,2,否,,
68a9bde800000000300189f0,68a048c1000000001d01838e,5c21aa5c0000000005001e9f,fly,111,1,2025-08-23 21:11:05,广东,0,0,1,否,,
68b0105a000000000b02b441,68a048c1000000001d01838e,624ecb8f000000000d03183d,豆瓣儿小房,111,1,2025-08-28 16:16:26,广东,0,0,1,否,,
68afc3820000000030031abb,68a048c1000000001d01838e,64d2c4ef000000000b016232,平小凡在霸都,111,0,2025-08-28 10:48:34,上海,0,0,2,否,,
68afc06b000000003001bb2d,68a048c1000000001d01838e,5eb17a830000000001004614,柔柔,111,1,2025-08-28 10:35:24,广东,0,0,0,否,,
68a7dd7a000000003000fcbb,68a048c1000000001d01838e,5d40333a0000000011034bd5,Soulmate110,111,0,2025-08-22 11:01:14,浙江,0,0,1,否,,
68ae54da000000003001a209,68a048c1000000001d01838e,6489f265000000001f007111,小红薯648B6457,111,0,2025-08-27 08:44:11,北京,0,0,1,否,,
68afb63b000000003003201c,68a048c1000000001d01838e,5c8b80300000000011028c07,゛o.蕶薍ヤゞ,111,0,2025-08-28 09:51:55,上海,0,0,1,否,,
68af224500000000010132f4,68a048c1000000001d01838e,63dbe05d0000000026007128,Ak￡sTaR,111,0,2025-08-27 23:20:37,新疆,0,0,1,否,,
68ac0507000000003001e035,68a048c1000000001d01838e,61ebb1860000000021025f1b,Kirby,1111,0,2025-08-25 14:39:03,北京,0,0,1,否,,
68abc716000000002603cdb8,68a048c1000000001d01838e,63d290530000000026005bc5,小红薯63D35B3F,111,0,2025-08-25 10:14:47,福建,0,0,1,否,,
68a99395000000003000ba40,68a048c1000000001d01838e,6016a6a5000000000101cad9,逮虾户,111,2,2025-08-23 18:10:30,马来西亚,0,0,1,否,,
68a8bc4a0000000030026218,68a048c1000000001d01838e,5b0832e3f7e8b979696038aa,臭屁一笼猪,111,0,2025-08-23 02:51:55,广东,0,0,1,否,,
68aebc840000000002014c81,68a048c1000000001d01838e,67297004000000001c019301,晨风惊扰了梦,11,0,2025-08-27 16:06:28,陕西,0,0,1,否,,
68a7d1690000000027006950,68a048c1000000001d01838e,58a448386a6a6903193f6ae2,栀辞,111,0,2025-08-22 10:09:45,山东,0,0,1,否,,
68a94606000000003002ef74,68a048c1000000001d01838e,5c36e1bd000000000601eea4,Amy,111,0,2025-08-23 12:39:34,加拿大,0,0,1,否,,
68a72ff50000000030008815,68a048c1000000001d01838e,5557448258944637aeb77660,杨←_←,111,0,2025-08-21 22:40:54,上海,0,0,1,否,,
68a7f496000000003000d935,68a048c1000000001d01838e,590b436a6a6a691ef5eb50e1,宝妈耶尔森,111,0,2025-08-22 12:39:50,辽宁,0,0,1,否,,
68a91e8200000000300234ae,68a048c1000000001d01838e,5ad224de4eacab39750749c6,黒沼Kuroma,111,0,2025-08-23 09:50:59,日本,0,0,1,否,,
68a72d930000000026038ca1,68a048c1000000001d01838e,61f1a644000000000201f2c7,浅拾忆ペ,111,0,2025-08-21 22:30:44,广东,0,0,1,否,,
68abf6ee000000003000b4d7,68a048c1000000001d01838e,5f25f5260000000001007ca5,岁岁年年人不同,111,0,2025-08-25 13:38:55,美国,0,0,1,否,,
68a7f60b000000002603ebc4,68a048c1000000001d01838e,5f21220a000000000101ca45,离殇一曲为睡眠,111,0,2025-08-22 12:46:03,湖北,0,0,1,否,,
68a7f377000000002700f9c6,68a048c1000000001d01838e,68651c96000000001b022779,星空,111,0,2025-08-22 12:35:03,中国香港,0,0,1,否,,
68a9515f000000002603f263,68a048c1000000001d01838e,5b3e12b5e8ac2b51ad2415fb,vivian,111,0,2025-08-23 13:28:00,北京,0,0,1,否,,
68a9201b0000000030004ec5,68a048c1000000001d01838e,64c64e31000000000e0262c2,豆,111,0,2025-08-23 09:57:47,广东,0,0,1,否,,
68a8241b00000000300332d3,68a048c1000000001d01838e,65dc4326000000000500dbfc,小红薯65DD99EC,111,0,2025-08-22 16:02:36,山东,0,0,1,否,,
68a7c5610000000026039eab,68a048c1000000001d01838e,63286f570000000023024ca8,好好的呀,111,0,2025-08-22 09:18:26,陕西,0,0,1,否,,
68a9fc870000000026038521,68a048c1000000001d01838e,54810dded6e4a961703012f2,Yina很悠闲,111,0,2025-08-24 01:38:15,上海,0,0,1,否,,
68acf19f000000003001c277,68a048c1000000001d01838e,66630130000000000303013c,梨花勿语🥰,111,1,2025-08-26 07:28:32,辽宁,0,0,0,否,,
68a9b5c3000000003002089e,68a048c1000000001d01838e,5a12ced44eacab0dde1b9c4b,南西成长日记,111,1,2025-08-23 20:36:19,吉林,0,0,0,否,,
68a6de620000000030021724,68a048c1000000001d01838e,5ccec751000000001100d6ef,spheresora,111,0,2025-08-21 16:52:51,北京,0,0,1,否,,
68a826150000000027001d2c,68a048c1000000001d01838e,5feeec6d000000000100014d,有计划的人先享受美好,111,0,2025-08-22 16:11:01,上海,0,0,1,否,,
68a9bbac0000000030010589,68a048c1000000001d01838e,5f5aeefa000000000101e15f,Thomas,111,0,2025-08-23 21:01:33,广东,0,0,1,否,,
68a8328a000000003001157d,68a048c1000000001d01838e,653488930000000002013e3b,懒猫氛围感家装,111,0,2025-08-22 17:04:11,广东,0,0,2,否,,
68a91cb70000000030025c34,68a048c1000000001d01838e,5db3f39200000000010008d4,😊,111,0,2025-08-23 09:43:20,江苏,0,0,1,否,,
68a9338d0000000030005abb,68a048c1000000001d01838e,5b5853e44eacab2dc07a53f8,安啾,111,0,2025-08-23 11:20:46,广东,0,0,1,否,,
68a84a0d00000000300112ee,68a048c1000000001d01838e,63c6c6a10000000026006921,bx对比,12年，码龙求带,1,2025-08-22 18:44:30,湖南,0,0,0,否,,
68a960140000000027006e4b,68a048c1000000001d01838e,5b38f26211be102de2b9d2aa,alisaxu🍀,111,0,2025-08-23 14:30:44,上海,0,0,1,否,,
68a971f0000000002700a92e,68a048c1000000001d01838e,5a96c5eae8ac2b26542b56e9,Luck-Q,111,0,2025-08-23 15:46:56,北京,0,0,1,否,,
68a997e00000000027008444,68a048c1000000001d01838e,626ea195000000002102918e,孤独探戈,111,1,2025-08-23 18:28:48,上海,0,0,1,否,,
68a974a7000000002700f0c4,68a048c1000000001d01838e,608f77cb00000000010076e0,万年正太_,111,0,2025-08-23 15:58:31,河北,0,0,1,否,,
68a7f7e1000000003001b3f2,68a048c1000000001d01838e,5906857082ec39262086b362,小红薯AF74F5CB,111,0,2025-08-22 12:53:53,北京,0,0,1,否,,
68ad0cac000000003000d502,68a048c1000000001d01838e,648aaced000000000f007d53,小森,111,0,2025-08-26 09:23:57,中国香港,0,0,1,否,,
68a6f70a0000000026035361,68a048c1000000001d01838e,5ef1bb7f000000000101fcfd,丅一詀垨候,111,0,2025-08-21 18:38:03,四川,0,0,1,否,,
68abba020000000030029514,68a048c1000000001d01838e,5f2cddcf0000000001009c1b,Warrior,111,0,2025-08-25 09:18:59,江苏,0,0,1,否,,
68a7cab8000000002700483d,68a048c1000000001d01838e,601e72a10000000001004d44,hyn,111,0,2025-08-22 09:41:13,广东,0,0,1,否,,
68ac5c000000000030010086,68a048c1000000001d01838e,5e3813cc000000000100bba7,Bravo Vincent,111,0,2025-08-25 20:50:08,广东,0,0,1,否,,
68a7fe360000000027007497,68a048c1000000001d01838e,5b9e078c0dc9910001855cf3,棒棒糖,111,0,2025-08-22 13:20:54,山东,0,0,1,否,,
68a9eafd000000003002345f,68a048c1000000001d01838e,5e37151f000000000100339c,S.K.P.,111,1,2025-08-24 00:23:26,中国香港,0,0,0,否,,
68aa74d40000000030022550,68a048c1000000001d01838e,5e06fba3000000000100577a,小红薯26C5BF1,111,0,2025-08-24 10:11:33,北京,0,0,1,否,,
68a85193000000002700fb88,68a048c1000000001d01838e,5d0e3f710000000012009556,小红薯5D0F6954,111,0,2025-08-22 19:16:35,广东,0,0,1,否,,
68a737d8000000002603dec3,68a048c1000000001d01838e,616031fe000000000201efa1,时光,111,0,2025-08-21 23:14:33,湖北,0,0,1,否,,
68a9c397000000002700422e,68a048c1000000001d01838e,633fa8c000000000180297f1,J ~ 🌌,111,0,2025-08-23 21:35:19,马来西亚,0,0,1,否,,
68a972300000000030024d63,68a048c1000000001d01838e,5b3a007edb2e603bf31f880f,小邸弟,111,0,2025-08-23 15:48:00,湖南,0,0,1,否,,
68a811e1000000003001987f,68a048c1000000001d01838e,65b13a420000000014005df1,fun,111,0,2025-08-22 14:44:50,江苏,0,0,1,否,,
68a906b9000000002603dfef,68a048c1000000001d01838e,5a96c2ea4eacab38196a0dd7,叔均,111,0,2025-08-23 08:09:30,上海,0,0,1,否,,
68a894650000000030033006,68a048c1000000001d01838e,55a3866e589446379fa7ab6d,咪咪,111,1,2025-08-23 00:01:41,北京,0,0,0,否,,
68aae10500000000300275e6,68a048c1000000001d01838e,6201d31400000000100094e9,JunchaoTech,111,1,2025-08-24 17:53:09,辽宁,0,0,0,否,,
68a8687a000000002603e648,68a048c1000000001d01838e,5f58bf6200000000010043c0,徒步远行,111,0,2025-08-22 20:54:19,广东,0,0,1,否,,
68a749660000000027008569,68a048c1000000001d01838e,60609f1d0000000001002072,王也＆,111,0,2025-08-22 00:29:26,江苏,0,0,1,否,,
68ac01fb000000002603c853,68a048c1000000001d01838e,60a68c4b00000000010056a4,老师傅,111,0,2025-08-25 14:26:03,广东,0,0,1,否,,
68ad38c1000000002601b959,68a048c1000000001d01838e,67c58bb30000000004033e17,33岁重启的晚霞,太厉害了，同为前开发人员，自愧不如,1,2025-08-26 12:32:02,湖南,0,0,0,否,,
68a936fb0000000030023020,68a048c1000000001d01838e,60f66f190000000001006aee,Scar.,111,0,2025-08-23 11:35:24,宁夏,0,0,1,否,,
68a7f3dc000000003001a12d,68a048c1000000001d01838e,5c66d9f10000000012002314,长空一剑,111,0,2025-08-22 12:36:45,广东,0,0,1,否,,
68abd8780000000030010fb8,68a048c1000000001d01838e,5edc694e000000000101c249,？？？,111,0,2025-08-25 11:28:57,广东,0,0,1,否,,
68ac08ff0000000030009248,68a048c1000000001d01838e,5cf0e1fe000000001802e4e4,普通靓女（求职版）,1111,0,2025-08-25 14:55:59,新疆,0,0,1,否,,
68a3bec70000000030032c7f,68a048c1000000001d01838e,604e25080000000001007525,Jack 何去何从～,111,1,2025-08-19 08:01:12,上海,0,0,1,否,,
68ac224e0000000026038d0a,68a048c1000000001d01838e,58383e6982ec393663171356,🍺,你好,1,2025-08-25 16:43:59,河南,0,0,0,否,,
68a853520000000027006a51,68a048c1000000001d01838e,5e302e2e0000000001007b30,爱吃蛋挞的男孩,恭喜成功上岸[派对R],1,2025-08-22 19:24:03,新加坡,0,0,0,否,,
68a2fbb1000000003002e45c,68a048c1000000001d01838e,678dce48000000000e01ea7e,唐诗三百首,111,0,2025-08-18 18:08:50,广东,0,0,1,否,,
68a2df64000000002603caf1,68a048c1000000001d01838e,633ea548000000001802c93e,小红薯633EE5FC,111,0,2025-08-18 16:08:05,陕西,0,0,1,否,,
68ac309100000000300316dc,68a048c1000000001d01838e,6156986c000000001f03caf4,一杯敬相识,111,1,2025-08-25 17:44:49,河南,0,0,0,否,,
68a3ad200000000027007503,68a048c1000000001d01838e,5c8b031b000000001001436d,山海~,111,0,2025-08-19 06:45:53,山东,0,0,1,否,,
68a881be0000000027004925,68a048c1000000001d01838e,62f35216000000001f0168a4,03.,111,1,2025-08-22 22:42:06,陕西,0,0,0,否,,
68a88706000000002700ff02,68a048c1000000001d01838e,66b9568f000000001d0201aa,🍍,111,1,2025-08-22 23:04:38,北京,0,0,0,否,,
68a84ffd000000002700176c,68a048c1000000001d01838e,5d4ce492000000001000ab8a,啷个哩个啷✨,111,0,2025-08-22 19:09:50,北京,0,0,1,否,,
68acf1a800000000300253e4,68a048c1000000001d01838e,66630130000000000303013c,梨花勿语🥰,111,1,2025-08-26 07:28:40,辽宁,0,0,0,否,,
68a8874b000000002603e03d,68a048c1000000001d01838e,63d3162800000000260126a1,生活玩家Mr.W,111,1,2025-08-22 23:05:47,上海,0,0,0,否,,
68ab0c81000000003000e6d6,68a048c1000000001d01838e,60f5256d0000000001000ddd,小红薯60F61A26,111,1,2025-08-24 20:58:41,北京,0,0,0,否,,
68aae2b20000000030022b07,68a048c1000000001d01838e,5adf7ff5e8ac2b51fa04a977,叹世界的叹,111,1,2025-08-24 18:00:19,西班牙,0,0,0,否,,
68a9f700000000003001f0dd,68a048c1000000001d01838e,62a30e310000000021027db9,..,111,1,2025-08-24 01:14:41,北京,0,0,0,否,,
68a919560000000030008b02,68a048c1000000001d01838e,649f9a7100000000110038cc,王晴莹,111,1,2025-08-23 09:28:55,湖北,0,0,0,否,,
68a90af80000000026036b98,68a048c1000000001d01838e,5d3a778b00000000160151fa,谁知道呢,888,1,2025-08-23 08:27:37,广东,0,0,0,否,,
68a902ed000000003001cb38,68a048c1000000001d01838e,62eb9a3c000000001f006c12,吴哥小铺,111,1,2025-08-23 07:53:18,浙江,0,0,0,否,,
68a8eef6000000003000a8b1,68a048c1000000001d01838e,5d00cbe6000000001603a06d,ZNSY,111,1,2025-08-23 06:28:07,英国,0,0,0,否,,
